Code_Entite;Nom_Entite;Code_Parent;Annee;GES_Agriculture;GES_Industrie;GES_Résidentiel;GES_Tertiaire;GES_Transports;CONSO_Residentiel;CONSO_Tertiaire;puissance_enr_hydro;puissance_enr_photo;puissance_enr_eolien;prod_enr_thermique_bois_energie;prod_enr_thermique_PAC;prod_enr_thermique_Incinerateurs;prod_enr_thermique_Biogaz;prod_enr_thermique_Solaire_thermique;chaleur_renouvelable;amenagements_cyclable;pourcentageVPelectrique;tonnage_dechets_enfouis;part_dechets_recycles;nbre_recycleries;canaux;eau_potable;industrie;irrigation;Conso_ENAF;Osmo_previ;Osmo_ini;Osmo_enga;Osmo_ter;Osmo_aban;aires_protegees
1;Ain;;2015;0.700189971;0.885562003;0.63668798;0.432206404;1.631984416;4.777934843;3.251058558;0.817493;0.0256875;0;0.908851875;0.178503667;0.017302;0.002877934;0.0204986;0.043488612;;0.084801901212229;;;4;0;54.59491;20.486856;33.198979;417.8184;;;;;;
1;Ain;;2016;0.70589258;0.873249225;0.578353019;0.414742703;1.663693377;4.604858917;3.190458066;0.813993;0.0261549;0;0.989029474;0.196766994;0.0187535;0.003380932;0.022004231;0.078357293;;0.138787251760075;;;4;0;53.887362;18.238792;30.010611;414.2381;;;;;;
1;Ain;;2017;0.705811418;0.827339387;0.582764971;0.41072401;1.709407064;4.641606028;3.155653955;0.815593;0.0270212;0.018;0.983657705;0.216970666;0.0204475;0.003246912;0.022021453;0.079550477;;0.193121889623412;;;5;0;54.953299;20.172398;29.75068;303.0104;;;;;;
1;Ain;;2018;0.684879785;0.83040851;0.609820838;0.413826258;1.6969493;4.759568084;3.30205846;0.814905;0.0372808;0.018;0.880620898;0.242429857;0.0237175;0.003121003;0.021674372;0.077178031;;0.255700553323249;;;5;0;56.016669;20.701761;30.571713;327.0757;;;;;;
1;Ain;;2019;0.678130732;0.800578083;0.600366488;0.369063344;1.668516127;4.720242317;2.433378396;0.81537;0.0457002;0.018;0.913911828;0.274794665;0.023774;0.006720076;0.02232834;0.081469224;;0.355743302229034;68934.8;79.5945196826664;6;0;55.044567;19.296856;28.739775;405.5296;;;;;;
1;Ain;;2020;0.675862598;0.705863063;0.604713151;0.335767716;1.401663249;4.820444166;2.372203205;0.814949;0.0511637;0.02975;0.836589961;0.31097357;0.02421;0.007045283;0.022421764;0.077772475;;0.669796391517035;66019.53;80.1910099012813;7;0;56.080235;17.271888;40.500594;297.1871;;;;;;4.56
1;Ain;;2021;0.654485201;0.810771571;0.53769201;0.331744017;1.53251911;4.559245048;3.28813482;0.816554;0.0897865;0.02975;1.004071627;0.351085549;0.007591;0.015549032;0.022888884;0.109279311;;1.13005701103348;73900.39;79.6624846769662;8;0;54.79566;18.029848;18.087857;192.9262;;;;;;4.56
1;Ain;;2022;0.656068828;0.770814108;0.487360701;0.301419851;1.581290639;4.325736396;3.118457126;0.816691;0.1507173;0.02975;0.876014194;0.400149094;0.0223955;0.009606554;0.022608612;0.110472869;721.834;1.6836861301907;60529.94;81.6722309181055;9;;;;;309.2548;;;;;;4.56
1;Ain;;2023;0.658111947;0.728703399;0.459656143;0.285904622;1.573591644;4.109633879;2.859176185;0.816691;0.1793276;0.02975;0.87818494;0.454570573;0.0232155;0.006155696;0.022888884;0.118479881;833.585;2.43980376740829;50357.13;81.1392045010036;9;;;;;241.6482;;;;;;4.56
1;Ain;;2024;0.658166627;0.629248759;0.464741822;0.277088309;1.600180511;4.110219888;2.961199908;0.816799;0.2513309;0.02975;0.919087153;0.493070368;0.0238685;0.010667447;0.022888884;0.124297932;963.395;3.13220808119183;;;;;;;;;52;66;7;17;3;4.56
